NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A50A,A3Ar_w,A50B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8_2021,AM21,X3,A9,A40,A10,A10A,A21_2015,A14,A41,A61,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J60_1,J60_2,J60_3,J60_4,J60_5,J60_6,J60_7,J60_90,J60_98,J60_99,J61,J62,J32,J33_40,J63,J64,J41_1,J41_2,J41_3,J42_1,J42_2,J43,J65,J66,B1,B2,B4,B41_1,B41_2,B60,B31,B42,B43,B61,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14A_1,B14A_60,EA_1,E7,E8,E20,E15_2015,E60,P60,P51,P61,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G35,G22_2015,G25_1,G25_2,G25_3,G25_4,G25_5,G60,G38,G23,H1,H30_3,M1_1,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M50,M9,M10,wgt_n2,wgt_d2,wgt_s3
2024010011,50,3,2,2,5,11,1,6,4,2,2,6,3,3,1,3,2,3,1, ,2,5,2,1,1,1,2,1,2, ,2, ,2,4, , , , , , , , , , ,1,2,5,7,4,98,4,5,5,2,5,2,2, ,1,2,2,1,1,7,3,3,3,2,2, , ,2, , , ,2,2,2, , , , ,1,1,2,3,3,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,3,3, , , , ,1,3,98,98,98,98,98,1.2504873377,.560678644,.9843963708
2024010012,36,3,2,2,4,10,1,2,4,2,2,5,1,3,1,2,2,2,1,2,2,2,2,10,1,3,3,1,2, ,2, ,2,2,1,0,0,0,0,0,0,0,0,0,2,2,1,6,1, ,2,3,3,3,1,3,2, ,1,1,2,1,1,5,3,98,3,2,98, , ,98, , , ,98,2,1,98,98, , ,2,2,2,3,7, , , , , , ,98,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,5,1,2,4,98,3, , , , ,98,98,98,98,98,98,98,1.3754143336,1.3738947447,1.0548708222
2024010013,26,4,2,2,5,11,1,2,1,2,1,5,5,3,1,1,2,2,1,2,3,2,2,4,4,1,3,1,1, ,1, ,2,1,1,0,0,0,0,0,0,0,0,0,1,1,5,4,1, ,4,3,3,4,2,2,2, ,1,1,2,3,2,5,2,3,3,2,1,2,2,1,1,2,2,2,2,1,2,2, , ,1,2,2,3,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,6,3,3, , , , ,1,3,1,98,2,98,2,.4930441756,2.1022717521,1.0374193575
2024010014,10,5,3,2,6,12,1,6,1,2,1,1,5,3,1,8,2,8,2, ,3,5,2,5,3,3,3,1,1,2, ,1,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,5,2, ,2,2,3,3,3,3,2, ,1,1,2,3,2,3,2,2,3,2,1,3,2,99, , , ,99,2,1,1,2,2,1,1,2,2,3,2,2,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,6,3, , , , ,3,3,98,3,98,1,2,.99578132,2.6870016278,.867797738
2024010015,14,3,2,2,4,10,1,7,4,1,3,6,8,3,1,1,2, ,1, , ,6,2,7,6,3,2,2,1, ,1, ,1,1,1,0,0,0,0,0,0,0,0,0,2,2,5,7,5,98,3,3,4,4,3,4,1,2,1,1,2,3,3,3,3,2,1,98,1, ,98,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,3,1,2,2,1,2,2,2,1,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,2,1,1,7,6,98, , , , ,1,3,1,98,1,1,2,1.1535483582,1.1391496576,.8300797166
2024010016,31,2,1,1,2,2,1,7,2,1,3,6,8,3,1,2,2, ,1, , ,2,2,5,5,3,3,3,2, ,2, ,1,2,0,0,0,0,1,0,0,0,0,0,1,1,3,4,3,2,4,3,3,3,4,3,2, ,1,1,2,2,3,4,2,2,3,2,1, ,1,98,2,2,1,2,2,1,1,2,2,3,2,2,2,3,3,1,1,2,1,2,2,2,2,0,0,0,0,0,1,0,0, , ,4,4,2,4,2,1,1,2,1,2,2,2,2,2,1,2, ,1,3,2,3,98,98,98,1.897189638,.5808947592,.8410861288
2024010017,6,8,4,1,5,5,1,6,2,1,3,6,5,3,1,1,2, ,1, , ,6,2,5,6,1,3,1,1, ,2, ,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,5,4,98,3,2,4,5,3,3,2, ,1,1,2,3,2,4,3,3,3,2,2, , ,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,2,2,2,7,6,2,2,1,1, ,1,3,2,2,1,1,2,.3656914127,1.5791877563,.8978445556
2024010018,21,5,3,1,6,6,1,7,1,2,1,5,7,3,1,8,1,3,2, ,1,2,2,7,4,2,3,1,1, , ,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,5,2,3, ,2,1,2,5,1,3,2, ,1,1,2,2,2,6,3,3,3,98,1,1,1,1,1,2,2,1,2,1,2,1,2, ,2,1,2,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,1,1,2,7,6,3, , , , ,1,3,1,2,1,1,2,.9342761568,.6848870766,.9980452692
2024010019,14,3,2,1,3,3,1,6,2,1,3,6,4,3,1,2,2, ,1, , ,5,2,6,5,3,2,98,2, ,98, ,98,2,0,1,1,0,0,1,0,0,0,0,98,2,98,6,3,2,3,5,4,3,4,2,2, ,1,2,98,3,1,5,3,3,2,1,1, ,1,2,1,2,2,1,98,1,2,2, , ,2,2,2,98,2,2,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , ,1,1,1,1,1,2,2,98,1,2,4,5,3, , , , ,1,3,1,2,1,1,2,1.1316635245,1.0228308605,.7351914388
2024010020,8,5,3,1,5,5,2,4,5,1,3,6,2,3,1,8,1, ,2,2, ,3,2,2,2,2,2,1,2, , ,2,1,4, , , , , , , , , , ,1,2,5,2,7, ,4,3,3,2,4,3,2, ,2,2, , , ,2,1,2,2,2,2, , ,2, , , , , ,1,2,2, , ,1,2,2,3,3,2,1,1,2,2,2,1,2,0,0,0,0,0,1,0,0, , ,1,1,1,3,1,2,2,1,1,1,2,3,3, , , , ,1,2,2,2,1,2,1,1.1376559527,.1750140466,.8805660403
